baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low
first_order_signed,19,63,1.854147713277629e-07,1.598408723434112e-07,2.5573898984351694e-08,2.1798215454893466e-08,2.801087424231241e-08,1.8540910673436883e-07,1.5976854683685815e-07,3.0550928351109904e-05,0.0004524844333786793
first_order_abs,89,122,7.762380133093168e-08,5.205540461196481e-08,2.5568396718966874e-08,7.940589452637424e-09,7.999724194185376e-09,7.762312037584707e-08,5.205438924349437e-08,8.772503703012861e-06,1.9505534113269672e-05
first_order_signed,89,122,7.762380133093168e-08,5.205540461196481e-08,2.5568396718966874e-08,7.940589452637424e-09,7.999724194185376e-09,7.762312037584707e-08,5.205438924349437e-08,8.772503703012861e-06,1.9505534113269672e-05
first_order_abs,89,45,7.762380133093168e-08,5.214470753305639e-08,2.547909379787529e-08,7.940589452637424e-09,8.629702330509302e-09,7.762312037584707e-08,5.21381764428952e-08,8.772503703012861e-06,0.00012524933919806996
first_order_signed,89,45,7.762380133093168e-08,5.214470753305639e-08,2.547909379787529e-08,7.940589452637424e-09,8.629702330509302e-09,7.762312037584707e-08,5.21381764428952e-08,8.772503703012861e-06,0.00012524933919806996
first_order_abs,112,100,9.327017850629176e-08,6.780699859506189e-08,2.5463179911229874e-08,1.151465867099688e-08,1.2649099589978618e-08,9.327463601493946e-08,6.780321371024911e-08,4.779135967236615e-05,5.5818497960348926e-05
first_order_signed,112,100,9.327017850629176e-08,6.780699859506189e-08,2.5463179911229874e-08,1.151465867099688e-08,1.2649099589978618e-08,9.327463601493946e-08,6.780321371024911e-08,4.779135967236615e-05,5.5818497960348926e-05
first_order_abs,85,61,8.524151710702273e-08,6.004634727754968e-08,2.5195169829473054e-08,9.493916364178289e-09,1.2295768159198417e-08,8.523826977580029e-08,6.004147223848122e-08,3.809565259570081e-05,8.11879371433461e-05
first_order_signed,85,61,8.524151710702273e-08,6.004634727754968e-08,2.5195169829473054e-08,9.493916364178289e-09,1.2295768159198417e-08,8.523826977580029e-08,6.004147223848122e-08,3.809565259570081e-05,8.11879371433461e-05
first_order_abs,19,34,1.854147713277629e-07,1.612696370968909e-07,2.4145134230872004e-08,2.1798215454893466e-08,2.6177402778770895e-08,1.8540910673436883e-07,1.6115104983782658e-07,3.0550928351109904e-05,0.0007353353129521718
first_order_signed,19,34,1.854147713277629e-07,1.612696370968909e-07,2.4145134230872004e-08,2.1798215454893466e-08,2.6177402778770895e-08,1.8540910673436883e-07,1.6115104983782658e-07,3.0550928351109904e-05,0.0007353353129521718
first_order_abs,85,23,8.524151710702273e-08,6.142159700314327e-08,2.3819920103879457e-08,9.493916364178289e-09,1.0522774718246807e-08,8.523826977580029e-08,6.142444419765525e-08,3.809565259570081e-05,4.6354941110202366e-05
first_order_signed,85,23,8.524151710702273e-08,6.142159700314327e-08,2.3819920103879457e-08,9.493916364178289e-09,1.0522774718246807e-08,8.523826977580029e-08,6.142444419765525e-08,3.809565259570081e-05,4.6354941110202366e-05
first_order_abs,112,83,9.327017850629176e-08,6.973023412726003e-08,2.3539944379031726e-08,1.151465867099688e-08,1.1616830297711543e-08,9.327463601493946e-08,6.966891419324384e-08,4.779135967236615e-05,0.0008793880414095233
first_order_signed,112,83,9.327017850629176e-08,6.973023412726003e-08,2.3539944379031726e-08,1.151465867099688e-08,1.1616830297711543e-08,9.327463601493946e-08,6.966891419324384e-08,4.779135967236615e-05,0.0008793880414095233
first_order_abs,30,53,6.839451191867113e-08,4.529262818169316e-08,2.3101883736977966e-08,8.452934729952232e-09,9.662174127456068e-09,6.839911748102168e-08,4.528903829736919e-08,6.733818578931836e-05,7.92597927762417e-05
first_order_signed,30,53,6.839451191867113e-08,4.529262818169316e-08,2.3101883736977966e-08,8.452934729952232e-09,9.662174127456068e-09,6.839911748102168e-08,4.528903829736919e-08,6.733818578931836e-05,7.92597927762417e-05
