baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low
first_order_abs,13,63,4.049963130729224e-07,3.4258157009361574e-07,6.241474297930666e-08,5.939747111938231e-08,7.150470953121157e-08,4.0499631381862855e-07,3.425816146318539e-07,1.84126652616885e-09,1.300076887620298e-07
first_order_signed,13,63,4.049963130729224e-07,3.4258157009361574e-07,6.241474297930666e-08,5.939747111938231e-08,7.150470953121157e-08,4.0499631381862855e-07,3.425816146318539e-07,1.84126652616885e-09,1.300076887620298e-07
first_order_abs,112,45,1.8775121915562393e-07,1.254834684071946e-07,6.226775074842934e-08,2.61056233075152e-08,2.6444372291933857e-08,1.877512261216907e-07,1.2548346717267123e-07,3.710264468653408e-08,9.83813547951381e-09
first_order_signed,112,45,1.8775121915562393e-07,1.254834684071946e-07,6.226775074842934e-08,2.61056233075152e-08,2.6444372291933857e-08,1.877512261216907e-07,1.2548346717267123e-07,3.710264468653408e-08,9.83813547951381e-09
first_order_abs,112,26,1.8775121915562393e-07,1.2649505103068067e-07,6.125616812494327e-08,2.61056233075152e-08,2.8597835743937592e-08,1.877512261216907e-07,1.2649502423300873e-07,3.710264468653408e-08,2.1184759177155848e-07
first_order_signed,112,26,1.8775121915562393e-07,1.2649505103068067e-07,6.125616812494327e-08,2.61056233075152e-08,2.8597835743937592e-08,1.877512261216907e-07,1.2649502423300873e-07,3.710264468653408e-08,2.1184759177155848e-07
first_order_abs,111,49,1.7751961480411947e-07,1.1626997167262457e-07,6.12496431314949e-08,2.3435098750468342e-08,2.5099755562862924e-08,1.7751960967871128e-07,1.1627000873204452e-07,2.887234856544041e-08,3.187359505840401e-07
first_order_signed,111,49,1.7751961480411947e-07,1.1626997167262457e-07,6.12496431314949e-08,2.3435098750468342e-08,2.5099755562862924e-08,1.7751960967871128e-07,1.1627000873204452e-07,2.887234856544041e-08,3.187359505840401e-07
first_order_abs,89,77,1.5566180091105214e-07,9.53560580840903e-08,6.030574282696184e-08,1.697718992055286e-08,1.8228505149764374e-08,1.5566179456527607e-07,9.535607148336567e-08,4.076643106433669e-08,1.4051834391539347e-07
first_order_signed,89,77,1.5566180091105214e-07,9.53560580840903e-08,6.030574282696184e-08,1.697718992055286e-08,1.8228505149764374e-08,1.5566179456527607e-07,9.535607148336567e-08,4.076643106433669e-08,1.4051834391539347e-07
first_order_abs,65,57,2.957019339184524e-07,2.3652235047802466e-07,5.9179583440427725e-08,4.870519196842337e-08,5.993303862084076e-08,2.957019091809343e-07,2.3652235370263952e-07,8.365693707888585e-08,1.3633446696937914e-08
first_order_signed,65,57,2.957019339184524e-07,2.3652235047802466e-07,5.9179583440427725e-08,4.870519196842337e-08,5.993303862084076e-08,2.957019091809343e-07,2.3652235370263952e-07,8.365693707888585e-08,1.3633446696937914e-08
first_order_abs,65,2,2.957019339184524e-07,2.3712965596262547e-07,5.857227795582692e-08,4.870519196842337e-08,5.0360903980362076e-08,2.957019091809343e-07,2.3712965457889368e-07,8.365693707888585e-08,5.8353384105042336e-09
first_order_signed,65,2,2.957019339184524e-07,2.3712965596262547e-07,5.857227795582692e-08,4.870519196842337e-08,5.0360903980362076e-08,2.957019091809343e-07,2.3712965457889368e-07,8.365693707888585e-08,5.8353384105042336e-09
first_order_abs,108,49,1.744410628610865e-07,1.1626997167262457e-07,5.817109118846193e-08,2.357083679349614e-08,2.5099755562862924e-08,1.7444106958919292e-07,1.1627000873204452e-07,3.856951058105276e-08,3.187359505840401e-07
first_order_signed,108,49,1.744410628610865e-07,1.1626997167262457e-07,5.817109118846193e-08,2.357083679349614e-08,2.5099755562862924e-08,1.7444106958919292e-07,1.1627000873204452e-07,3.856951058105276e-08,3.187359505840401e-07
first_order_abs,89,53,1.5566180091105214e-07,9.752400249585814e-08,5.8137798415194e-08,1.697718992055286e-08,2.5503542300242542e-08,1.5566179456527607e-07,9.752397289730652e-08,4.076643106433669e-08,3.035001729349403e-07
first_order_signed,89,53,1.5566180091105214e-07,9.752400249585814e-08,5.8137798415194e-08,1.697718992055286e-08,2.5503542300242542e-08,1.5566179456527607e-07,9.752397289730652e-08,4.076643106433669e-08,3.035001729349403e-07
first_order_abs,4,61,1.7896841646260672e-07,1.2192018378822234e-07,5.704823267438438e-08,2.06474083608299e-08,2.7173746053321678e-08,1.7896843473863555e-07,1.2192018061796261e-07,1.0211873800997768e-07,2.6002747230406944e-08
